,Value,Model,SWF,Metrics,Error,SWF_bi
0,0.023967726156115532,CNN,w/o SWF,Loss,0.9760322738438845,0
1,0.019740769639611244,CNN,w/o SWF,Loss,0.9802592303603888,0
2,0.021708421409130096,CNN,w/o SWF,Loss,0.9782915785908699,0
3,0.024480994790792465,CNN,w/o SWF,Loss,0.9755190052092075,0
4,0.021250680088996887,CNN,w/o SWF,Loss,0.9787493199110031,0
5,0.9936591160444993,CNN,w/o SWF,Precision,0.006340883955500698,0
6,0.9949290966558656,CNN,w/o SWF,Precision,0.005070903344134403,0
7,0.9942904934318557,CNN,w/o SWF,Precision,0.005709506568144285,0
8,0.9931152694339274,CNN,w/o SWF,Precision,0.006884730566072639,0
9,0.9940634415988007,CNN,w/o SWF,Precision,0.005936558401199332,0
10,0.9935897435897436,CNN,w/o SWF,Recall,0.0064102564102563875,0
11,0.9948717948717949,CNN,w/o SWF,Recall,0.00512820512820511,0
12,0.9942307692307693,CNN,w/o SWF,Recall,0.005769230769230749,0
13,0.9930341880341881,CNN,w/o SWF,Recall,0.006965811965811919,0
14,0.9939957264957265,CNN,w/o SWF,Recall,0.006004273504273461,0
15,0.9935897588729858,CNN,w/o SWF,Accuracy,0.00641024112701416,0
16,0.9948717951774597,CNN,w/o SWF,Accuracy,0.005128204822540283,0
17,0.9942307472229004,CNN,w/o SWF,Accuracy,0.005769252777099609,0
18,0.9930341839790344,CNN,w/o SWF,Accuracy,0.006965816020965576,0
19,0.993995726108551,CNN,w/o SWF,Accuracy,0.006004273891448975,0
20,0.014294200576841831,CNN,w/ SWF,Loss,0.9857057994231582,1
21,0.014593178406357765,CNN,w/ SWF,Loss,0.9854068215936422,1
22,0.01266512367874384,CNN,w/ SWF,Loss,0.9873348763212562,1
23,0.01688717119395733,CNN,w/ SWF,Loss,0.9831128288060427,1
24,0.015594863332808018,CNN,w/ SWF,Loss,0.984405136667192,1
25,0.9961288430813805,CNN,w/ SWF,Precision,0.0038711569186195005,1
26,0.9963602266992234,CNN,w/ SWF,Precision,0.003639773300776583,1
27,0.9964730624768824,CNN,w/ SWF,Precision,0.0035269375231176125,1
28,0.9952728899552802,CNN,w/ SWF,Precision,0.004727110044719818,1
29,0.9955819516839505,CNN,w/ SWF,Precision,0.004418048316049528,1
30,0.9960897435897436,CNN,w/ SWF,Recall,0.003910256410256441,1
31,0.9963461538461539,CNN,w/ SWF,Recall,0.0036538461538461187,1
32,0.9964529914529915,CNN,w/ SWF,Recall,0.003547008547008512,1
33,0.9952136752136752,CNN,w/ SWF,Recall,0.0047863247863247915,1
34,0.995534188034188,CNN,w/ SWF,Recall,0.004465811965811972,1
35,0.9960897564888,CNN,w/ SWF,Accuracy,0.003910243511199951,1
36,0.9963461756706238,CNN,w/ SWF,Accuracy,0.0036538243293762207,1
37,0.9964529871940613,CNN,w/ SWF,Accuracy,0.0035470128059387207,1
38,0.9952136874198914,CNN,w/ SWF,Accuracy,0.004786312580108643,1
39,0.9955341815948486,CNN,w/ SWF,Accuracy,0.004465818405151367,1
40,0.9104217727744365,QDA,w/o SWF,Precision,0.08957822722556352,0
41,0.9137111658410648,QDA,w/o SWF,Precision,0.08628883415893518,0
42,0.9098126192355684,QDA,w/o SWF,Precision,0.09018738076443156,0
43,0.9110353081376062,QDA,w/o SWF,Precision,0.08896469186239375,0
44,0.9116122928184544,QDA,w/o SWF,Precision,0.08838770718154565,0
45,0.8069871794871795,QDA,w/o SWF,Recall,0.19301282051282054,0
46,0.8135256410256411,QDA,w/o SWF,Recall,0.18647435897435893,0
47,0.8118589743589744,QDA,w/o SWF,Recall,0.18814102564102564,0
48,0.8103632478632479,QDA,w/o SWF,Recall,0.18963675213675213,0
49,0.8085897435897436,QDA,w/o SWF,Recall,0.19141025641025644,0
50,0.8069871794871795,QDA,w/o SWF,Accuracy,0.19301282051282054,0
51,0.8135256410256411,QDA,w/o SWF,Accuracy,0.18647435897435893,0
52,0.8118589743589744,QDA,w/o SWF,Accuracy,0.18814102564102564,0
53,0.8103632478632479,QDA,w/o SWF,Accuracy,0.18963675213675213,0
54,0.8085897435897436,QDA,w/o SWF,Accuracy,0.19141025641025644,0
55,0.8715989844008991,QDA,w/ SWF,Precision,0.1284010155991009,1
56,0.8679503102865198,QDA,w/ SWF,Precision,0.1320496897134802,1
57,0.8713535087328184,QDA,w/ SWF,Precision,0.12864649126718164,1
58,0.8753179997507231,QDA,w/ SWF,Precision,0.12468200024927689,1
59,0.8706857128583491,QDA,w/ SWF,Precision,0.12931428714165094,1
60,0.8210897435897436,QDA,w/ SWF,Recall,0.17891025641025637,1
61,0.8171794871794872,QDA,w/ SWF,Recall,0.18282051282051281,1
62,0.8232264957264958,QDA,w/ SWF,Recall,0.17677350427350424,1
63,0.8316880341880342,QDA,w/ SWF,Recall,0.16831196581196584,1
64,0.8211752136752136,QDA,w/ SWF,Recall,0.17882478632478638,1
65,0.8210897435897436,QDA,w/ SWF,Accuracy,0.17891025641025637,1
66,0.8171794871794872,QDA,w/ SWF,Accuracy,0.18282051282051281,1
67,0.8232264957264958,QDA,w/ SWF,Accuracy,0.17677350427350424,1
68,0.8316880341880342,QDA,w/ SWF,Accuracy,0.16831196581196584,1
69,0.8211752136752136,QDA,w/ SWF,Accuracy,0.17882478632478638,1
