,Value,Model,Label,SWF,Metrics,Error
0,0.9952353725938632,CNN,0,w/o SWF,Precision,0.004764627406136812
1,0.9973200612557427,CNN,1,w/o SWF,Precision,0.0026799387442573153
2,0.9956980836918263,CNN,2,w/o SWF,Precision,0.00430191630817367
3,0.9728506787330317,CNN,3,w/o SWF,Precision,0.02714932126696834
4,0.9976998274870615,CNN,4,w/o SWF,Precision,0.0023001725129384587
5,0.9992425676955122,CNN,5,w/o SWF,Precision,0.0007574323044877707
6,0.9919630299377135,CNN,6,w/o SWF,Precision,0.008036970062286541
7,0.9948571428571429,CNN,7,w/o SWF,Precision,0.005142857142857116
8,0.997686077902044,CNN,8,w/o SWF,Precision,0.0023139220979560005
9,0.9953605258070752,CNN,0,w/o SWF,Precision,0.004639474192924764
10,0.9970822797121183,CNN,1,w/o SWF,Precision,0.002917720287881731
11,0.9961634375599463,CNN,2,w/o SWF,Precision,0.0038365624400537035
12,0.9758125472411187,CNN,3,w/o SWF,Precision,0.024187452758881345
13,0.9971444888635066,CNN,4,w/o SWF,Precision,0.002855511136493405
14,0.999806875241406,CNN,5,w/o SWF,Precision,0.0001931247585940099
15,0.9953863898500577,CNN,6,w/o SWF,Precision,0.0046136101499423265
16,0.999043062200957,CNN,7,w/o SWF,Precision,0.000956937799043045
17,0.9984384149912161,CNN,8,w/o SWF,Precision,0.0015615850087838945
18,0.9982761923003256,CNN,0,w/o SWF,Precision,0.0017238076996743956
19,0.9972736124634859,CNN,1,w/o SWF,Precision,0.0027263875365141077
20,0.9978931239226202,CNN,2,w/o SWF,Precision,0.0021068760773798045
21,0.9769403824521935,CNN,3,w/o SWF,Precision,0.0230596175478065
22,0.9976298637171638,CNN,4,w/o SWF,Precision,0.0023701362828362216
23,0.9988501341510158,CNN,5,w/o SWF,Precision,0.001149865848984244
24,0.9875906834669721,CNN,6,w/o SWF,Precision,0.012409316533027903
25,0.9982476635514018,CNN,7,w/o SWF,Precision,0.0017523364485981796
26,0.995987772258311,CNN,8,w/o SWF,Precision,0.004012227741688967
27,0.9953370895667379,CNN,0,w/o SWF,Precision,0.0046629104332620575
28,0.9965530448104175,CNN,1,w/o SWF,Precision,0.00344695518958249
29,0.9951399688958009,CNN,2,w/o SWF,Precision,0.004860031104199081
30,0.9708029197080292,CNN,3,w/o SWF,Precision,0.029197080291970767
31,0.9955426356589148,CNN,4,w/o SWF,Precision,0.004457364341085235
32,0.9992286926340147,CNN,5,w/o SWF,Precision,0.0007713073659852965
33,0.9900019227071717,CNN,6,w/o SWF,Precision,0.009998077292828311
34,0.9984120682810639,CNN,7,w/o SWF,Precision,0.0015879317189361197
35,0.9970143683523045,CNN,8,w/o SWF,Precision,0.002985631647695497
36,0.9947121034077556,CNN,0,w/o SWF,Precision,0.005287896592244379
37,0.9984939759036144,CNN,1,w/o SWF,Precision,0.001506024096385561
38,0.9975081464443166,CNN,2,w/o SWF,Precision,0.0024918535556833765
39,0.9733530717986677,CNN,3,w/o SWF,Precision,0.0266469282013323
40,0.995693873556469,CNN,4,w/o SWF,Precision,0.004306126443531011
41,0.9988198269079465,CNN,5,w/o SWF,Precision,0.001180173092053538
42,0.9909536373916321,CNN,6,w/o SWF,Precision,0.009046362608367886
43,0.999028749028749,CNN,7,w/o SWF,Precision,0.0009712509712509476
44,0.9984356667970278,CNN,8,w/o SWF,Precision,0.0015643332029722234
45,0.9880794701986755,CNN,0,w/o SWF,Recall,0.01192052980132452
46,0.9992328346758726,CNN,1,w/o SWF,Recall,0.0007671653241273502
47,0.9927861181516865,CNN,2,w/o SWF,Recall,0.007213881848313508
48,0.999418942475305,CNN,3,w/o SWF,Recall,0.0005810575246949501
49,0.9895437262357415,CNN,4,w/o SWF,Recall,0.010456273764258506
50,0.9967888175292784,CNN,5,w/o SWF,Recall,0.0032111824707216075
51,0.9885863035642771,CNN,6,w/o SWF,Recall,0.011413696435722875
52,0.9908935685828116,CNN,7,w/o SWF,Recall,0.009106431417188365
53,0.9969171483622351,CNN,8,w/o SWF,Recall,0.003082851637764894
54,0.9932484567901234,CNN,0,w/o SWF,Recall,0.006751543209876587
55,0.9972762645914397,CNN,1,w/o SWF,Recall,0.0027237354085603016
56,0.9959723820483314,CNN,2,w/o SWF,Recall,0.004027617951668616
57,0.9994193922972712,CNN,3,w/o SWF,Recall,0.0005806077027288303
58,0.9894219871552701,CNN,4,w/o SWF,Recall,0.010578012844729923
59,0.997303024465421,CNN,5,w/o SWF,Recall,0.002696975534579038
60,0.9894897764188801,CNN,6,w/o SWF,Recall,0.01051022358111986
61,0.9933396764985728,CNN,7,w/o SWF,Recall,0.006660323501427201
62,0.9986333463490824,CNN,8,w/o SWF,Recall,0.001366653650917593
63,0.9929510382930082,CNN,0,w/o SWF,Recall,0.007048961706991763
64,0.9978565861262666,CNN,1,w/o SWF,Recall,0.002143413873733402
65,0.9929483514389175,CNN,2,w/o SWF,Recall,0.007051648561082535
66,0.9996163437559946,CNN,3,w/o SWF,Recall,0.00038365624400538145
67,0.988454011741683,CNN,4,w/o SWF,Recall,0.011545988258316986
68,0.9969395562356542,CNN,5,w/o SWF,Recall,0.003060443764345777
69,0.9911860509676184,CNN,6,w/o SWF,Recall,0.00881394903238164
70,0.9884326200115674,CNN,7,w/o SWF,Recall,0.011567379988432602
71,0.9996164908916587,CNN,8,w/o SWF,Recall,0.0003835091083412845
72,0.9901430228063394,CNN,0,w/o SWF,Recall,0.009856977193660632
73,0.9990401228642733,CNN,1,w/o SWF,Recall,0.00095987713572665
74,0.9905185758513931,CNN,2,w/o SWF,Recall,0.009481424148606865
75,0.999421965317919,CNN,3,w/o SWF,Recall,0.0005780346820809523
76,0.9909336419753086,CNN,4,w/o SWF,Recall,0.009066358024691357
77,0.9976896418944936,CNN,5,w/o SWF,Recall,0.0023103581055063938
78,0.9848890589135425,CNN,6,w/o SWF,Recall,0.015110941086457497
79,0.9878240377062059,CNN,7,w/o SWF,Recall,0.01217596229379414
80,0.9966424174594292,CNN,8,w/o SWF,Recall,0.003357582540570836
81,0.9943226311667972,CNN,0,w/o SWF,Recall,0.0056773688332028005
82,0.9998114985862394,CNN,1,w/o SWF,Recall,0.00018850141376058893
83,0.9927508584509729,CNN,2,w/o SWF,Recall,0.007249141549027116
84,0.99867097019176,CNN,3,w/o SWF,Recall,0.001329029808240012
85,0.9873835403726708,CNN,4,w/o SWF,Recall,0.012616459627329157
86,0.9970547810720597,CNN,5,w/o SWF,Recall,0.0029452189279403074
87,0.9872324446113406,CNN,6,w/o SWF,Recall,0.012767555388659368
88,0.9899903753609239,CNN,7,w/o SWF,Recall,0.010009624639076065
89,0.9988262910798122,CNN,8,w/o SWF,Recall,0.0011737089201877549
90,0.9982359858878871,CNN,0,w/ SWF,Precision,0.0017640141121129105
91,0.9982702287142033,CNN,1,w/ SWF,Precision,0.0017297712857966552
92,1.0,CNN,2,w/ SWF,Precision,0.0
93,0.9806816110807363,CNN,3,w/ SWF,Precision,0.01931838891926374
94,0.9982652274479569,CNN,4,w/ SWF,Precision,0.001734772552043129
95,0.9986418315871168,CNN,5,w/ SWF,Precision,0.001358168412883165
96,0.9943063199848169,CNN,6,w/ SWF,Precision,0.005693680015183111
97,0.9986360093530787,CNN,7,w/ SWF,Precision,0.001363990646921276
98,0.9988416988416988,CNN,8,w/ SWF,Precision,0.0011583011583011782
99,0.9931584948688712,CNN,0,w/ SWF,Precision,0.0068415051311288
100,0.9982581768918134,CNN,1,w/ SWF,Precision,0.001741823108186602
101,0.9986945169712794,CNN,2,w/ SWF,Precision,0.0013054830287205776
102,0.9884900507218104,CNN,3,w/ SWF,Precision,0.011509949278189602
103,0.9984396333138288,CNN,4,w/ SWF,Precision,0.0015603666861712107
104,0.9994179278230501,CNN,5,w/ SWF,Precision,0.0005820721769499437
105,0.9923518164435946,CNN,6,w/ SWF,Precision,0.007648183556405397
106,0.9988432620011567,CNN,7,w/ SWF,Precision,0.0011567379988433046
107,0.9994214079074253,CNN,8,w/ SWF,Precision,0.0005785920925747146
108,0.9967130703789636,CNN,0,w/ SWF,Precision,0.003286929621036383
109,0.9992447129909365,CNN,1,w/ SWF,Precision,0.0007552870090634656
110,0.9986247544204322,CNN,2,w/ SWF,Precision,0.0013752455795678076
111,0.9851145038167939,CNN,3,w/ SWF,Precision,0.014885496183206115
112,0.9959692898272553,CNN,4,w/ SWF,Precision,0.0040307101727447
113,0.9996237772761475,CNN,5,w/ SWF,Precision,0.0003762227238525151
114,0.9949700135422712,CNN,6,w/ SWF,Precision,0.005029986457728786
115,0.9982551376502521,CNN,7,w/ SWF,Precision,0.001744862349747911
116,0.999611575063119,CNN,8,w/ SWF,Precision,0.00038842493688096
117,0.9952417205938333,CNN,0,w/ SWF,Precision,0.004758279406166688
118,0.997857421114141,CNN,1,w/ SWF,Precision,0.0021425788858590034
119,0.9996170783074861,CNN,2,w/ SWF,Precision,0.0003829216925138601
120,0.9758607784431138,CNN,3,w/ SWF,Precision,0.024139221556886192
121,0.9968986237642954,CNN,4,w/ SWF,Precision,0.0031013762357046115
122,0.9990340030911901,CNN,5,w/ SWF,Precision,0.0009659969088099407
123,0.9949119373776908,CNN,6,w/ SWF,Precision,0.0050880626223092085
124,0.9982598607888631,CNN,7,w/ SWF,Precision,0.0017401392111369152
125,0.9998087222647284,CNN,8,w/ SWF,Precision,0.00019127773527161107
126,0.9959262851600388,CNN,0,w/ SWF,Precision,0.004073714839961218
127,0.9982761923003256,CNN,1,w/ SWF,Precision,0.0017238076996743956
128,0.99961307796479,CNN,2,w/ SWF,Precision,0.0003869220352099578
129,0.9778576835730507,CNN,3,w/ SWF,Precision,0.022142316426949304
130,0.997884208501635,CNN,4,w/ SWF,Precision,0.0021157914983650494
131,0.998646558391338,CNN,5,w/ SWF,Precision,0.0013534416086620205
132,0.9937791601866252,CNN,6,w/ SWF,Precision,0.0062208398133748455
133,0.9990434283527836,CNN,7,w/ SWF,Precision,0.0009565716472164087
134,0.9990437942245172,CNN,8,w/ SWF,Precision,0.0009562057754828324
135,0.9945323179066589,CNN,0,w/ SWF,Recall,0.005467682093341142
136,0.9984621299500193,CNN,1,w/ SWF,Recall,0.0015378700499807385
137,0.9972543636007061,CNN,2,w/ SWF,Recall,0.002745636399293927
138,1.0,CNN,3,w/ SWF,Recall,0.0
139,0.9917656070471084,CNN,4,w/ SWF,Recall,0.008234392952891634
140,0.9982544608223429,CNN,5,w/ SWF,Recall,0.001745539177657074
141,0.9911085887249338,CNN,6,w/ SWF,Recall,0.008891411275066208
142,0.9955322455322455,CNN,7,w/ SWF,Recall,0.004467754467754492
143,0.9978784956605593,CNN,8,w/ SWF,Recall,0.002121504339440694
144,0.9941031006277344,CNN,0,w/ SWF,Recall,0.005896899372265563
145,0.9992251065478497,CNN,1,w/ SWF,Recall,0.0007748934521503159
